task_id,sc_id,time_first_known,sc_start_time,container_start_time,finish_time,distance_to_container,time_to_container,travel_time,idle_time,origin_location,destination_location,sc_total_distance,container_distance
CO_TFTU000116,SC020,2024-08-21 07:20:00,2024-08-21 07:19:27,2024-08-21 07:20:00,2024-08-21 07:20:33,182193,32.798019801980196,66.34311431143114,0,QC005,WS002.01,368536,186343
CO_TFTU000233,SC020,2024-08-21 07:52:00,2024-08-21 07:50:51,2024-08-21 07:52:00,2024-08-21 07:53:09,382227,68.8077407740774,138.36255625562555,0,QC007,WS002.01,768604,386377
CO_TFTU000256,SC020,2024-08-21 08:02:00,2024-08-21 08:01:27,2024-08-21 08:02:00,2024-08-21 08:02:33,182193,32.798019801980196,66.34311431143114,0,QC005,WS002.01,368536,186343
CO_TFTU000012,SC020,2024-08-21 07:02:00,2024-08-21 07:01:09,2024-08-21 07:02:00,2024-08-21 07:02:51,282637,50.87974797479748,102.50657065706571,0,QC006,WS002.01,569424,286787
CO_TFTU000047,SC020,2024-08-21 07:09:00,2024-08-21 07:08:27,2024-08-21 07:09:00,2024-08-21 07:09:42,182193,32.798019801980196,75.34401440144015,0,QC005,WS003.01,418536,236343
CO_TFTU000051,SC020,2024-08-21 07:10:00,2024-08-21 07:09:27,2024-08-21 07:10:00,2024-08-21 07:10:42,182193,32.798019801980196,75.34401440144015,0,QC005,WS003.01,418536,236343
CO_TFTU000053,SC020,2024-08-21 07:10:00,2024-08-21 07:09:09,2024-08-21 07:10:00,2024-08-21 07:11:00,282637,50.87974797479748,111.5074707470747,0,QC006,WS003.01,619424,336787
CO_TFTU000056,SC020,2024-08-21 07:11:00,2024-08-21 07:10:45,2024-08-21 07:11:00,2024-08-21 07:11:38,82176,14.793159315931593,52.813321332133214,0,QC004,WS003.01,293378,211202
CO_TFTU000117,SC020,2024-08-21 07:20:00,2024-08-21 07:19:27,2024-08-21 07:20:00,2024-08-21 07:20:42,182193,32.798019801980196,75.34401440144015,0,QC005,WS003.01,418536,236343
CO_TFTU000153,SC020,2024-08-21 07:28:00,2024-08-21 07:27:45,2024-08-21 07:28:00,2024-08-21 07:28:38,82176,14.793159315931593,52.813321332133214,0,QC004,WS003.01,293378,211202
CO_TFTU000187,SC020,2024-08-21 07:38:00,2024-08-21 07:37:27,2024-08-21 07:38:00,2024-08-21 07:38:42,182193,32.798019801980196,75.34401440144015,0,QC005,WS003.01,418536,236343
CO_TFTU000199,SC020,2024-08-21 07:42:00,2024-08-21 07:41:27,2024-08-21 07:42:00,2024-08-21 07:42:42,182193,32.798019801980196,75.34401440144015,0,QC005,WS003.01,418536,236343
CO_TFTU000200,SC020,2024-08-21 07:42:00,2024-08-21 07:41:27,2024-08-21 07:42:00,2024-08-21 07:42:42,182193,32.798019801980196,75.34401440144015,0,QC005,WS003.01,418536,236343
CO_TFTU000212,SC020,2024-08-21 07:45:00,2024-08-21 07:44:27,2024-08-21 07:45:00,2024-08-21 07:45:42,182193,32.798019801980196,75.34401440144015,0,QC005,WS003.01,418536,236343
CO_TFTU000214,SC020,2024-08-21 07:46:00,2024-08-21 07:45:27,2024-08-21 07:46:00,2024-08-21 07:46:42,182193,32.798019801980196,75.34401440144015,0,QC005,WS003.01,418536,236343
CO_TFTU000225,SC020,2024-08-21 07:48:00,2024-08-21 07:47:27,2024-08-21 07:48:00,2024-08-21 07:48:42,182193,32.798019801980196,75.34401440144015,0,QC005,WS003.01,418536,236343
CO_TFTU000226,SC020,2024-08-21 07:48:00,2024-08-21 07:47:27,2024-08-21 07:48:00,2024-08-21 07:48:42,182193,32.798019801980196,75.34401440144015,0,QC005,WS003.01,418536,236343
CO_TFTU000242,SC020,2024-08-21 07:57:00,2024-08-21 07:56:27,2024-08-21 07:57:00,2024-08-21 07:57:42,182193,32.798019801980196,75.34401440144015,0,QC005,WS003.01,418536,236343
CO_TFTU000255,SC020,2024-08-21 08:02:00,2024-08-21 08:01:27,2024-08-21 08:02:00,2024-08-21 08:02:42,182193,32.798019801980196,75.34401440144015,0,QC005,WS003.01,418536,236343
CO_TFTU000276,SC020,2024-08-21 08:06:00,2024-08-21 08:05:27,2024-08-21 08:06:00,2024-08-21 08:06:42,182193,32.798019801980196,75.34401440144015,0,QC005,WS003.01,418536,236343
CO_TFTU000038,SC020,2024-08-21 07:07:00,2024-08-21 07:05:51,2024-08-21 07:07:00,2024-08-21 07:08:27,382227,68.8077407740774,156.36435643564357,0,QC007,WS004.01,868604,486377
CO_TFTU000123,SC020,2024-08-21 07:21:00,2024-08-21 07:20:45,2024-08-21 07:21:00,2024-08-21 07:21:47,82176,14.793159315931593,61.81422142214221,0,QC004,WS004.01,343378,261202
CO_TFTU000149,SC020,2024-08-21 07:27:00,2024-08-21 07:26:27,2024-08-21 07:27:00,2024-08-21 07:27:51,182193,32.798019801980196,84.34491449144915,0,QC005,WS004.01,468536,286343
CO_TFTU000192,SC020,2024-08-21 07:40:00,2024-08-21 07:39:45,2024-08-21 07:40:00,2024-08-21 07:40:47,82176,14.793159315931593,61.81422142214221,0,QC004,WS004.01,343378,261202
CO_TFTU000238,SC020,2024-08-21 07:54:00,2024-08-21 07:53:27,2024-08-21 07:54:00,2024-08-21 07:54:51,182193,32.798019801980196,84.34491449144915,0,QC005,WS004.01,468536,286343
CO_TFTU000245,SC020,2024-08-21 07:58:00,2024-08-21 07:57:45,2024-08-21 07:58:00,2024-08-21 07:58:47,82176,14.793159315931593,61.81422142214221,0,QC004,WS004.01,343378,261202
CO_TFTU000024,SC020,2024-08-21 07:05:00,2024-08-21 07:04:27,2024-08-21 07:05:00,2024-08-21 07:06:00,182193,32.798019801980196,93.34581458145814,0,QC005,WS007.01,518536,336343
CO_TFTU000027,SC020,2024-08-21 07:05:00,2024-08-21 07:04:09,2024-08-21 07:05:00,2024-08-21 07:06:18,282637,50.87974797479748,129.5092709270927,0,QC006,WS007.01,719424,436787
CO_TFTU000190,SC020,2024-08-21 07:39:00,2024-08-21 07:37:51,2024-08-21 07:39:00,2024-08-21 07:40:36,382227,68.8077407740774,165.36525652565257,0,QC007,WS007.01,918604,536377
CO_TFTU000230,SC020,2024-08-21 07:50:00,2024-08-21 07:49:09,2024-08-21 07:50:00,2024-08-21 07:51:18,282637,50.87974797479748,129.5092709270927,0,QC006,WS007.01,719424,436787
CO_TFTU000232,SC020,2024-08-21 07:51:00,2024-08-21 07:50:27,2024-08-21 07:51:00,2024-08-21 07:52:00,182193,32.798019801980196,93.34581458145814,0,QC005,WS007.01,518536,336343
CO_TFTU000250,SC020,2024-08-21 07:59:00,2024-08-21 07:58:27,2024-08-21 07:59:00,2024-08-21 08:00:00,182193,32.798019801980196,93.34581458145814,0,QC005,WS007.01,518536,336343
CO_TFTU000278,SC020,2024-08-21 08:07:00,2024-08-21 08:06:27,2024-08-21 08:07:00,2024-08-21 08:08:00,182193,32.798019801980196,93.34581458145814,0,QC005,WS007.01,518536,336343
CO_TFTU000017,SC020,2024-08-21 07:03:00,2024-08-21 07:02:27,2024-08-21 07:03:00,2024-08-21 07:04:00,182193,32.798019801980196,93.34581458145814,0,QC005,WS007.01,518536,336343
CO_TFTU000102,SC020,2024-08-21 07:17:00,2024-08-21 07:16:09,2024-08-21 07:17:00,2024-08-21 07:18:27,282637,50.87974797479748,138.5101710171017,0,QC006,WS008.01,769424,486787
CO_TFTU000119,SC020,2024-08-21 07:20:00,2024-08-21 07:19:09,2024-08-21 07:20:00,2024-08-21 07:21:27,282637,50.87974797479748,138.5101710171017,0,QC006,WS008.01,769424,486787
CO_TFTU000124,SC020,2024-08-21 07:21:00,2024-08-21 07:20:27,2024-08-21 07:21:00,2024-08-21 07:22:09,182193,32.798019801980196,102.34671467146714,0,QC005,WS008.01,568536,386343
CO_TFTU000135,SC020,2024-08-21 07:24:00,2024-08-21 07:23:09,2024-08-21 07:24:00,2024-08-21 07:25:27,282637,50.87974797479748,138.5101710171017,0,QC006,WS008.01,769424,486787
CO_TFTU000154,SC020,2024-08-21 07:28:00,2024-08-21 07:27:27,2024-08-21 07:28:00,2024-08-21 07:29:09,182193,32.798019801980196,102.34671467146714,0,QC005,WS008.01,568536,386343
CO_TFTU000161,SC020,2024-08-21 07:30:00,2024-08-21 07:29:27,2024-08-21 07:30:00,2024-08-21 07:31:09,182193,32.798019801980196,102.34671467146714,0,QC005,WS008.01,568536,386343
CO_TFTU000181,SC020,2024-08-21 07:37:00,2024-08-21 07:36:27,2024-08-21 07:37:00,2024-08-21 07:38:09,182193,32.798019801980196,102.34671467146714,0,QC005,WS008.01,568536,386343
CO_TFTU000193,SC020,2024-08-21 07:40:00,2024-08-21 07:39:27,2024-08-21 07:40:00,2024-08-21 07:41:09,182193,32.798019801980196,102.34671467146714,0,QC005,WS008.01,568536,386343
CO_TFTU000203,SC020,2024-08-21 07:43:00,2024-08-21 07:42:27,2024-08-21 07:43:00,2024-08-21 07:44:09,182193,32.798019801980196,102.34671467146714,0,QC005,WS008.01,568536,386343
CO_TFTU000223,SC020,2024-08-21 07:47:00,2024-08-21 07:46:27,2024-08-21 07:47:00,2024-08-21 07:48:09,182193,32.798019801980196,102.34671467146714,0,QC005,WS008.01,568536,386343
CO_TFTU000231,SC020,2024-08-21 07:51:00,2024-08-21 07:50:27,2024-08-21 07:51:00,2024-08-21 07:52:09,182193,32.798019801980196,102.34671467146714,0,QC005,WS008.01,568536,386343
CO_TFTU000258,SC020,2024-08-21 08:02:00,2024-08-21 08:01:09,2024-08-21 08:02:00,2024-08-21 08:03:27,282637,50.87974797479748,138.5101710171017,0,QC006,WS008.01,769424,486787
CO_TFTU000281,SC020,2024-08-21 08:07:00,2024-08-21 08:06:09,2024-08-21 08:07:00,2024-08-21 08:08:27,282637,50.87974797479748,138.5101710171017,0,QC006,WS008.01,769424,486787
CO_TFTU000241,SC020,2024-08-21 07:56:00,2024-08-21 07:55:45,2024-08-21 07:56:00,2024-08-21 07:57:14,82176,14.793159315931593,88.81692169216922,0,QC004,WS009.01,493378,411202
CO_TFTU000016,SC020,2024-08-21 07:03:00,2024-08-21 07:02:27,2024-08-21 07:03:00,2024-08-21 07:04:27,182193,32.798019801980196,120.34851485148515,0,QC005,WS010.01,668536,486343
CO_TFTU000035,SC020,2024-08-21 07:07:00,2024-08-21 07:06:27,2024-08-21 07:07:00,2024-08-21 07:08:27,182193,32.798019801980196,120.34851485148515,0,QC005,WS010.01,668536,486343
CO_TFTU000036,SC020,2024-08-21 07:07:00,2024-08-21 07:06:27,2024-08-21 07:07:00,2024-08-21 07:08:27,182193,32.798019801980196,120.34851485148515,0,QC005,WS010.01,668536,486343
CO_TFTU000037,SC020,2024-08-21 07:07:00,2024-08-21 07:06:09,2024-08-21 07:07:00,2024-08-21 07:08:45,282637,50.87974797479748,156.51197119711972,0,QC006,WS010.01,869424,586787
CO_TFTU000043,SC020,2024-08-21 07:08:00,2024-08-21 07:07:09,2024-08-21 07:08:00,2024-08-21 07:09:45,282637,50.87974797479748,156.51197119711972,0,QC006,WS010.01,869424,586787
CO_TFTU000073,SC020,2024-08-21 07:13:00,2024-08-21 07:12:27,2024-08-21 07:13:00,2024-08-21 07:14:27,182193,32.798019801980196,120.34851485148515,0,QC005,WS010.01,668536,486343
CO_TFTU000087,SC020,2024-08-21 07:16:00,2024-08-21 07:15:27,2024-08-21 07:16:00,2024-08-21 07:17:27,182193,32.798019801980196,120.34851485148515,0,QC005,WS010.01,668536,486343
CO_TFTU000105,SC020,2024-08-21 07:18:00,2024-08-21 07:17:27,2024-08-21 07:18:00,2024-08-21 07:19:27,182193,32.798019801980196,120.34851485148515,0,QC005,WS010.01,668536,486343
CO_TFTU000106,SC020,2024-08-21 07:18:00,2024-08-21 07:17:27,2024-08-21 07:18:00,2024-08-21 07:19:27,182193,32.798019801980196,120.34851485148515,0,QC005,WS010.01,668536,486343
CO_TFTU000143,SC020,2024-08-21 07:25:00,2024-08-21 07:24:09,2024-08-21 07:25:00,2024-08-21 07:26:45,282637,50.87974797479748,156.51197119711972,0,QC006,WS010.01,869424,586787
CO_TFTU000158,SC020,2024-08-21 07:29:00,2024-08-21 07:28:45,2024-08-21 07:29:00,2024-08-21 07:30:23,82176,14.793159315931593,97.81782178217821,0,QC004,WS010.01,543378,461202
CO_TFTU000170,SC020,2024-08-21 07:33:00,2024-08-21 07:32:09,2024-08-21 07:33:00,2024-08-21 07:34:45,282637,50.87974797479748,156.51197119711972,0,QC006,WS010.01,869424,586787
CO_TFTU000174,SC020,2024-08-21 07:34:00,2024-08-21 07:33:27,2024-08-21 07:34:00,2024-08-21 07:35:27,182193,32.798019801980196,120.34851485148515,0,QC005,WS010.01,668536,486343
CO_TFTU000215,SC020,2024-08-21 07:46:00,2024-08-21 07:45:27,2024-08-21 07:46:00,2024-08-21 07:47:27,182193,32.798019801980196,120.34851485148515,0,QC005,WS010.01,668536,486343
CO_TFTU000167,SC020,2024-08-21 07:31:00,2024-08-21 07:30:27,2024-08-21 07:31:00,2024-08-21 07:32:36,182193,32.798019801980196,129.34941494149416,0,QC005,WS011.01,718536,536343
CO_TFTU000002,SC020,2024-08-21 07:00:00,2024-08-21 06:59:27,2024-08-21 07:00:00,2024-08-21 07:01:45,182193,32.798019801980196,138.35031503150316,0,QC005,WS012.01,768536,586343
CO_TFTU000025,SC020,2024-08-21 07:05:00,2024-08-21 07:04:09,2024-08-21 07:05:00,2024-08-21 07:07:03,282637,50.87974797479748,174.51377137713772,0,QC006,WS012.01,969424,686787
CO_TFTU000031,SC020,2024-08-21 07:06:00,2024-08-21 07:05:45,2024-08-21 07:06:00,2024-08-21 07:07:41,82176,14.793159315931593,115.81962196219622,0,QC004,WS012.01,643378,561202
CO_TFTU000040,SC020,2024-08-21 07:08:00,2024-08-21 07:07:27,2024-08-21 07:08:00,2024-08-21 07:09:45,182193,32.798019801980196,138.35031503150316,0,QC005,WS012.01,768536,586343
CO_TFTU000057,SC020,2024-08-21 07:11:00,2024-08-21 07:10:27,2024-08-21 07:11:00,2024-08-21 07:12:45,182193,32.798019801980196,138.35031503150316,0,QC005,WS012.01,768536,586343
CO_TFTU000091,SC020,2024-08-21 07:16:00,2024-08-21 07:15:09,2024-08-21 07:16:00,2024-08-21 07:18:03,282637,50.87974797479748,174.51377137713772,0,QC006,WS012.01,969424,686787
CO_TFTU000159,SC020,2024-08-21 07:29:00,2024-08-21 07:28:45,2024-08-21 07:29:00,2024-08-21 07:30:41,82176,14.793159315931593,115.81962196219622,0,QC004,WS012.01,643378,561202
CO_TFTU000162,SC020,2024-08-21 07:30:00,2024-08-21 07:29:27,2024-08-21 07:30:00,2024-08-21 07:31:45,182193,32.798019801980196,138.35031503150316,0,QC005,WS012.01,768536,586343
CO_TFTU000177,SC020,2024-08-21 07:35:00,2024-08-21 07:33:51,2024-08-21 07:35:00,2024-08-21 07:37:21,382227,68.8077407740774,210.36975697569758,0,QC007,WS012.01,1168604,786377
CO_TFTU000180,SC020,2024-08-21 07:37:00,2024-08-21 07:36:45,2024-08-21 07:37:00,2024-08-21 07:38:41,82176,14.793159315931593,115.81962196219622,0,QC004,WS012.01,643378,561202
CO_TFTU000182,SC020,2024-08-21 07:37:00,2024-08-21 07:36:09,2024-08-21 07:37:00,2024-08-21 07:39:03,282637,50.87974797479748,174.51377137713772,0,QC006,WS012.01,969424,686787
CO_TFTU000194,SC020,2024-08-21 07:40:00,2024-08-21 07:39:09,2024-08-21 07:40:00,2024-08-21 07:42:03,282637,50.87974797479748,174.51377137713772,0,QC006,WS012.01,969424,686787
CO_TFTU000201,SC020,2024-08-21 07:42:00,2024-08-21 07:41:27,2024-08-21 07:42:00,2024-08-21 07:43:45,182193,32.798019801980196,138.35031503150316,0,QC005,WS012.01,768536,586343
CO_TFTU000218,SC020,2024-08-21 07:46:00,2024-08-21 07:44:51,2024-08-21 07:46:00,2024-08-21 07:48:21,382227,68.8077407740774,210.36975697569758,0,QC007,WS012.01,1168604,786377
CO_TFTU000268,SC020,2024-08-21 08:04:00,2024-08-21 08:03:09,2024-08-21 08:04:00,2024-08-21 08:06:03,282637,50.87974797479748,174.51377137713772,0,QC006,WS012.01,969424,686787
CO_TFTU000279,SC020,2024-08-21 08:07:00,2024-08-21 08:06:27,2024-08-21 08:07:00,2024-08-21 08:08:45,182193,32.798019801980196,138.35031503150316,0,QC005,WS012.01,768536,586343
CO_TFTU000285,SC020,2024-08-21 08:08:00,2024-08-21 08:07:27,2024-08-21 08:08:00,2024-08-21 08:09:45,182193,32.798019801980196,138.35031503150316,0,QC005,WS012.01,768536,586343
CO_TFTU000013,SC020,2024-08-21 07:02:00,2024-08-21 07:01:09,2024-08-21 07:02:00,2024-08-21 07:04:03,282637,50.87974797479748,174.51377137713772,0,QC006,WS012.01,969424,686787
CO_TFTU000011,SC020,2024-08-21 07:02:00,2024-08-21 07:01:27,2024-08-21 07:02:00,2024-08-21 07:03:54,182193,32.798019801980196,147.35121512151215,0,QC005,WS013.01,818536,636343
CO_TFTU000054,SC020,2024-08-21 07:10:00,2024-08-21 07:08:51,2024-08-21 07:10:00,2024-08-21 07:12:30,382227,68.8077407740774,219.37065706570658,0,QC007,WS013.01,1218604,836377
CO_TFTU000078,SC020,2024-08-21 07:14:00,2024-08-21 07:12:51,2024-08-21 07:14:00,2024-08-21 07:16:30,382227,68.8077407740774,219.37065706570658,0,QC007,WS013.01,1218604,836377
CO_TFTU000088,SC020,2024-08-21 07:16:00,2024-08-21 07:15:27,2024-08-21 07:16:00,2024-08-21 07:17:54,182193,32.798019801980196,147.35121512151215,0,QC005,WS013.01,818536,636343
CO_TFTU000136,SC020,2024-08-21 07:24:00,2024-08-21 07:23:09,2024-08-21 07:24:00,2024-08-21 07:26:12,282637,50.87974797479748,183.5146714671467,0,QC006,WS013.01,1019424,736787
CO_TFTU000150,SC020,2024-08-21 07:27:00,2024-08-21 07:26:27,2024-08-21 07:27:00,2024-08-21 07:28:54,182193,32.798019801980196,147.35121512151215,0,QC005,WS013.01,818536,636343
CO_TFTU000169,SC020,2024-08-21 07:32:00,2024-08-21 07:31:27,2024-08-21 07:32:00,2024-08-21 07:33:54,182193,32.798019801980196,147.35121512151215,0,QC005,WS013.01,818536,636343
CO_TFTU000171,SC020,2024-08-21 07:33:00,2024-08-21 07:32:09,2024-08-21 07:33:00,2024-08-21 07:35:12,282637,50.87974797479748,183.5146714671467,0,QC006,WS013.01,1019424,736787
CO_TFTU000197,SC020,2024-08-21 07:41:00,2024-08-21 07:40:27,2024-08-21 07:41:00,2024-08-21 07:42:54,182193,32.798019801980196,147.35121512151215,0,QC005,WS013.01,818536,636343
CO_TFTU000205,SC020,2024-08-21 07:43:00,2024-08-21 07:42:09,2024-08-21 07:43:00,2024-08-21 07:45:12,282637,50.87974797479748,183.5146714671467,0,QC006,WS013.01,1019424,736787
CO_TFTU000266,SC020,2024-08-21 08:04:00,2024-08-21 08:03:27,2024-08-21 08:04:00,2024-08-21 08:05:54,182193,32.798019801980196,147.35121512151215,0,QC005,WS013.01,818536,636343
CO_TFTU000269,SC020,2024-08-21 08:04:00,2024-08-21 08:03:09,2024-08-21 08:04:00,2024-08-21 08:06:12,282637,50.87974797479748,183.5146714671467,0,QC006,WS013.01,1019424,736787
CO_TFTU000274,SC020,2024-08-21 08:05:00,2024-08-21 08:04:09,2024-08-21 08:05:00,2024-08-21 08:07:12,282637,50.87974797479748,183.5146714671467,0,QC006,WS013.01,1019424,736787
CO_TFTU000021,SC020,2024-08-21 07:04:00,2024-08-21 07:02:51,2024-08-21 07:04:00,2024-08-21 07:06:39,382227,68.8077407740774,228.37155715571558,0,QC007,WS014.01,1268604,886377
CO_TFTU000028,SC020,2024-08-21 07:05:00,2024-08-21 07:03:51,2024-08-21 07:05:00,2024-08-21 07:07:39,382227,68.8077407740774,228.37155715571558,0,QC007,WS014.01,1268604,886377
